pick_up_location,pulocationid
UN/Turtle Bay South,238.0
TriBeCa/Civic Center,239.0
Queensbridge/Ravenswood,7.0
Central Harlem,246.0
Greenwich Village North,163.0
East Chelsea,161.0
Hudson Sq,43.0
Financial District North,211.0
Yorkville West,234.0
East Harlem South,170.0
Garment District,236.0
Brooklyn Heights,50.0
Flatiron,142.0
Lenox Hill West,237.0
Financial District South,24.0
Crown Heights North,232.0
Lenox Hill East,79.0
Battery Park City,233.0
Meatpacking/West Village West,148.0
Central Harlem North,144.0
Central Park,229.0
Bloomingdale,41.0
Upper West Side North,48.0
North Corona,95.0
East Harlem North,141.0
Morningside Heights,90.0
Lower East Side,249.0
World Trade Center,87.0
Little Italy/NoLiTa,113.0
Greenwich Village South,107.0
Gramercy,162.0
Starrett City,189.0
Kips Bay,140.0
Downtown Brooklyn/MetroTech,262.0
Park Slope,166.0
Astoria,263.0
Elmhurst,143.0
Washington Heights South,151.0
SoHo,231.0
Flushing,40.0
Fort Greene,158.0
East New York,181.0
West Chelsea/Hudson Yards,68.0
Lincoln Square West,164.0
Manhattan Valley,114.0
Woodside,125.0
Forest Hills,75.0
Sheepshead Bay,129.0
Old Astoria,226.0
Rego Park,260.0
Clinton West,137.0
Jamaica,209.0
Long Island City/Queens Plaza,65.0
Steinway,74.0
Two Bridges/Seward Park,224.0
Greenpoint,256.0
Sunnyside,132.0
Williamsburg (South Side),116.0
Stuy Town/Peter Cooper Village,112.0
Co-Op City,17.0
Sutton Place/Turtle Bay North,186.0
Cobble Hill,42.0
Long Island City/Hunters Point,88.0
Williamsburg (North Side),4.0
DUMBO/Vinegar Hill,138.0
Chinatown,45.0
Jackson Heights,13.0
East Flushing,257.0
Boerum Hill,261.0
South Jamaica,193.0
Bushwick South,152.0
Carroll Gardens,179.0
Hamilton Heights,264.0
Mount Hope,243.0
Manhattanville,244.0
Westchester Village/Unionport,18.0
Van Cortlandt Village,119.0
Seaport,255.0
Yorkville East,100.0
Allerton/Pelham Gardens,220.0
West Farms/Bronx River,153.0
Parkchester,145.0
East Concourse/Concourse Village,25.0
East Flatbush/Remsen Village,12.0
East Flatbush/Farragut,80.0
Stuyvesant Heights,97.0
Hunts Point,135.0
Coney Island,49.0
Soundview/Castle Hill,127.0
Soundview/Bruckner,47.0
Jamaica Estates,196.0
Sunset Park West,202.0
Richmond Hill,173.0
Alphabet City,146.0
Clinton Hill,52.0
Mott Haven/Port Morris,33.0
Ridgewood,169.0
Belmont,70.0
Gowanus,56.0
Elmhurst/Maspeth,10.0
East Tremont,37.0
Queensboro Hill,69.0
Washington Heights North,66.0
Canarsie,235.0
Prospect-Lefferts Gardens,225.0
Kew Gardens Hills,76.0
Brighton Beach,185.0
Whitestone,94.0
Prospect Heights,188.0
Van Nest/Morris Park,216.0
Murray Hill-Queens,136.0
Kew Gardens,83.0
Morrisania/Melrose,89.0
Highbridge,190.0
Flatlands,159.0
Inwood,34.0
Schuylerville/Edgewater Park,85.0
East Williamsburg,168.0
Claremont/Bathgate,223.0
Kingsbridge Heights,167.0
Flatbush/Ditmas Park,247.0
Midwood,82.0
West Village,230.0
Brownsville,36.0
Gravesend,106.0
Bushwick North,61.0
Erasmus,217.0
Crotona Park East,160.0
University Heights/Morris Heights,62.0
Marine Park/Mill Basin,134.0
Fordham South,14.0
Howard Beach,147.0
Woodlawn/Wakefield,241.0
Windsor Terrace,157.0
Columbia Street,126.0
Bedford,198.0
Flushing Meadows-Corona Park,174.0
South Williamsburg,78.0
Melrose South,71.0
Glendale,212.0
Middle Village,20.0
Hollis,63.0
Bensonhurst West,254.0
Cambria Heights,195.0
Springfield Gardens North,93.0
Rosedale,72.0
Pelham Bay,258.0
Bronx Park,67.0
Williamsbridge/Olinville,54.0
Bay Ridge,133.0
Briarwood/Jamaica Hills,91.0
Crown Heights South,228.0
Douglaston,39.0
East Elmhurst,265.0
Norwood,28.0
Riverdale/North Riverdale/Fieldston,227.0
Bronxdale,92.0
Battery Park,250.0
Bensonhurst East,77.0
Marble Hill,60.0
Auburndale,22.0
Saint Albans,177.0
South Ozone Park,35.0
Bayside,182.0
Ozone Park,219.0
Maspeth,194.0
Prospect Park,26.0
West Concourse,165.0
Spuyten Duyvil/Kingsbridge,102.0
Hillcrest/Pomonok,192.0
Madison,197.0
Borough Park,130.0
Queens Village,213.0
Bedford Park,248.0
Homecrest,121.0
Pelham Parkway,128.0
Dyker Heights,205.0
Highbridge Park,200.0
