Column1,Column2,Column3
Allerton/Pelham Gardens,Astoria,3.646
Allerton/Pelham Gardens,Claremont/Bathgate,2.42
Allerton/Pelham Gardens,Cobble Hill,3.8333333333333335
Allerton/Pelham Gardens,DUMBO/Vinegar Hill,3.9325
Allerton/Pelham Gardens,Downtown Brooklyn/MetroTech,3.544285714285714
Allerton/Pelham Gardens,East Harlem North,4.5442857142857145
Allerton/Pelham Gardens,East Williamsburg,2.0
Allerton/Pelham Gardens,Elmhurst,5.2
Allerton/Pelham Gardens,Financial District South,4.74
Allerton/Pelham Gardens,Flatiron,5.27
Allerton/Pelham Gardens,Forest Hills,2.856666666666667
Allerton/Pelham Gardens,Garment District,3.954411764705882
Allerton/Pelham Gardens,Hudson Sq,4.602857142857142
Allerton/Pelham Gardens,Kips Bay,4.0575
Allerton/Pelham Gardens,Lenox Hill West,4.89
Allerton/Pelham Gardens,Maspeth,0.095
Allerton/Pelham Gardens,Park Slope,3.31
Allerton/Pelham Gardens,Steinway,2.125964912280702
Allerton/Pelham Gardens,TriBeCa/Civic Center,4.9
Allerton/Pelham Gardens,UN/Turtle Bay South,4.291428571428571
Allerton/Pelham Gardens,Washington Heights South,4.94
Alphabet City,Astoria,1.88
Alphabet City,Battery Park City,4.726
Alphabet City,Bay Ridge,4.29
Alphabet City,Boerum Hill,2.671796875
Alphabet City,Brownsville,3.968
Alphabet City,Bushwick North,2.6399999999999997
Alphabet City,Cambria Heights,2.1616666666666666
Alphabet City,Central Harlem,4.7863953488372095
Alphabet City,Central Harlem North,2.3213636363636363
Alphabet City,Central Park,5.097142857142857
Alphabet City,Chinatown,1.974342105263158
Alphabet City,Clinton Hill,0.8446428571428571
Alphabet City,Clinton West,4.297954545454545
Alphabet City,Co-Op City,2.4442857142857144
Alphabet City,Coney Island,1.4829729729729728
Alphabet City,Crown Heights North,3.0003030303030305
Alphabet City,East Chelsea,4.9236
Alphabet City,East Concourse/Concourse Village,0.843728813559322
Alphabet City,East Flatbush/Farragut,3.21875
Alphabet City,East Flatbush/Remsen Village,3.2523076923076926
Alphabet City,East Flushing,2.735
Alphabet City,East Harlem South,4.3575531914893615
Alphabet City,East New York,1.3826582278481012
Alphabet City,East Tremont,3.1533333333333338
Alphabet City,Elmhurst,3.59
Alphabet City,Erasmus,1.94
Alphabet City,Financial District North,2.7233125
Alphabet City,Flushing,1.2039285714285715
Alphabet City,Fort Greene,3.9189583333333338
Alphabet City,Gramercy,4.8003448275862075
Alphabet City,Gravesend,1.4733333333333334
Alphabet City,Greenpoint,3.1044444444444443
Alphabet City,Greenwich Village South,3.745990783410138
Alphabet City,Hamilton Heights,3.3252941176470587
Alphabet City,Highbridge,2.37
